time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-02 00:00:00+00:00,78,20,921,148
2024-01-03 00:00:00+00:00,54,16,851,173
2024-01-04 00:00:00+00:00,61,13,858,193
2024-01-05 00:00:00+00:00,55,18,961,189
2024-01-06 00:00:00+00:00,6,5,236,65
2024-01-07 00:00:00+00:00,25,10,108,48
2024-01-08 00:00:00+00:00,33,10,775,153
2024-01-09 00:00:00+00:00,18,11,741,162
2024-01-10 00:00:00+00:00,73,13,763,180
2024-01-11 00:00:00+00:00,8,8,657,185
2024-01-12 00:00:00+00:00,25,11,716,155
2024-01-13 00:00:00+00:00,6,6,373,65
2024-01-14 00:00:00+00:00,29,6,210,60
2024-01-15 00:00:00+00:00,152,9,847,166
