time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-19 00:00:00+00:00,62,15,950,201
2024-06-20 00:00:00+00:00,157,17,1144,211
2024-06-21 00:00:00+00:00,23,12,491,148
2024-06-22 00:00:00+00:00,39,8,262,71
2024-06-23 00:00:00+00:00,7,6,109,42
2024-06-24 00:00:00+00:00,10,5,841,190
2024-06-25 00:00:00+00:00,18,5,811,191
2024-06-26 00:00:00+00:00,16,5,665,196
2024-06-27 00:00:00+00:00,16,6,861,175
2024-06-28 00:00:00+00:00,17,8,490,133
2024-06-29 00:00:00+00:00,11,5,264,59
2024-06-30 00:00:00+00:00,11,6,229,46
2024-07-01 00:00:00+00:00,49,8,628,164
2024-07-02 00:00:00+00:00,33,10,935,177
