time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-30 00:00:00+00:00,22,19,1282,223
2022-08-31 00:00:00+00:00,35,11,1324,224
2022-09-01 00:00:00+00:00,11,8,1240,206
2022-09-02 00:00:00+00:00,7,6,846,193
2022-09-03 00:00:00+00:00,7,7,343,80
2022-09-04 00:00:00+00:00,2,2,371,74
2022-09-05 00:00:00+00:00,18,8,744,191
2022-09-06 00:00:00+00:00,27,10,1192,219
2022-09-07 00:00:00+00:00,18,7,1234,208
2022-09-08 00:00:00+00:00,42,11,1111,202
2022-09-09 00:00:00+00:00,5,5,1113,164
2022-09-10 00:00:00+00:00,2,2,232,49
2022-09-11 00:00:00+00:00,3,3,225,48
2022-09-12 00:00:00+00:00,2,2,176,65
