time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-20 00:00:00+00:00,20,6,1214,160
2023-09-21 00:00:00+00:00,27,9,517,129
2023-09-22 00:00:00+00:00,75,4,727,147
2023-09-23 00:00:00+00:00,21,5,362,87
2023-09-24 00:00:00+00:00,4,4,135,51
2023-09-25 00:00:00+00:00,28,8,1084,147
2023-09-26 00:00:00+00:00,19,6,717,155
2023-09-27 00:00:00+00:00,24,4,782,139
2023-09-28 00:00:00+00:00,11,8,762,132
2023-09-29 00:00:00+00:00,4,4,146,31
2023-09-30 00:00:00+00:00,35,4,118,28
2023-10-01 00:00:00+00:00,2,2,79,27
2023-10-02 00:00:00+00:00,8,5,154,28
2023-10-03 00:00:00+00:00,4,3,111,33
