time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-16 00:00:00+00:00,8,8,463,83
2022-07-17 00:00:00+00:00,6,6,385,81
2022-07-18 00:00:00+00:00,25,15,1041,213
2022-07-19 00:00:00+00:00,7,7,1476,223
2022-07-20 00:00:00+00:00,21,14,1089,198
2022-07-21 00:00:00+00:00,19,11,1595,251
2022-07-22 00:00:00+00:00,6,5,1156,203
2022-07-23 00:00:00+00:00,2,2,443,81
2022-07-24 00:00:00+00:00,6,5,292,55
2022-07-25 00:00:00+00:00,37,16,1214,222
2022-07-26 00:00:00+00:00,12,9,1561,257
2022-07-27 00:00:00+00:00,24,10,1044,226
2022-07-28 00:00:00+00:00,44,17,1249,223
2022-07-29 00:00:00+00:00,18,6,1211,214
