time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-30 00:00:00+00:00,12,7,1242,203
2022-10-01 00:00:00+00:00,5,5,148,53
2022-10-02 00:00:00+00:00,1,1,72,36
2022-10-03 00:00:00+00:00,3,3,123,41
2022-10-04 00:00:00+00:00,4,4,168,44
2022-10-05 00:00:00+00:00,3,3,204,52
2022-10-06 00:00:00+00:00,2,2,238,75
2022-10-07 00:00:00+00:00,6,4,315,60
2022-10-08 00:00:00+00:00,11,7,847,192
2022-10-09 00:00:00+00:00,4,4,899,212
2022-10-10 00:00:00+00:00,17,11,1058,230
2022-10-11 00:00:00+00:00,10,7,987,218
2022-10-12 00:00:00+00:00,52,17,1122,193
2022-10-13 00:00:00+00:00,32,12,1080,200
