time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-23 00:00:00+00:00,2,2,443,81
2022-07-24 00:00:00+00:00,6,5,292,55
2022-07-25 00:00:00+00:00,37,16,1214,222
2022-07-26 00:00:00+00:00,12,9,1561,257
2022-07-27 00:00:00+00:00,24,10,1044,226
2022-07-28 00:00:00+00:00,44,17,1249,223
2022-07-29 00:00:00+00:00,19,7,1214,216
2022-07-30 00:00:00+00:00,4,4,416,92
2022-07-31 00:00:00+00:00,18,9,386,85
2022-08-01 00:00:00+00:00,87,14,1772,236
2022-08-02 00:00:00+00:00,14,11,1124,212
2022-08-03 00:00:00+00:00,13,10,956,200
2022-08-04 00:00:00+00:00,10,10,1125,184
2022-08-05 00:00:00+00:00,23,10,1214,194
