time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-28 00:00:00+00:00,11,8,762,132
2023-09-29 00:00:00+00:00,4,4,146,31
2023-09-30 00:00:00+00:00,35,4,118,28
2023-10-01 00:00:00+00:00,2,2,79,27
2023-10-02 00:00:00+00:00,8,5,154,28
2023-10-03 00:00:00+00:00,6,5,113,34
2023-10-04 00:00:00+00:00,3,3,72,37
2023-10-05 00:00:00+00:00,7,6,129,34
2023-10-06 00:00:00+00:00,1,1,199,47
2023-10-07 00:00:00+00:00,30,10,685,141
2023-10-08 00:00:00+00:00,6,5,740,137
2023-10-09 00:00:00+00:00,27,10,836,138
2023-10-10 00:00:00+00:00,8,6,800,157
2023-10-11 00:00:00+00:00,4,4,729,159
