time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-14 00:00:00+00:00,24,10,1083,233
2022-09-15 00:00:00+00:00,15,8,1070,210
2022-09-16 00:00:00+00:00,6,5,1303,227
2022-09-17 00:00:00+00:00,3,3,526,94
2022-09-18 00:00:00+00:00,8,6,323,70
2022-09-19 00:00:00+00:00,7,6,1359,217
2022-09-20 00:00:00+00:00,20,8,1191,174
2022-09-21 00:00:00+00:00,19,12,1202,209
2022-09-22 00:00:00+00:00,28,9,1391,249
2022-09-23 00:00:00+00:00,25,8,1026,174
2022-09-24 00:00:00+00:00,2,2,281,72
2022-09-25 00:00:00+00:00,3,3,283,67
2022-09-26 00:00:00+00:00,12,8,1275,245
2022-09-27 00:00:00+00:00,34,9,1642,302
