time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-30 00:00:00+00:00,15,11,458,152
2024-05-01 00:00:00+00:00,6,5,199,53
2024-05-02 00:00:00+00:00,5,5,281,45
2024-05-03 00:00:00+00:00,30,10,163,43
2024-05-04 00:00:00+00:00,14,9,139,49
2024-05-05 00:00:00+00:00,5,5,182,60
2024-05-06 00:00:00+00:00,42,18,553,179
2024-05-07 00:00:00+00:00,97,21,1104,199
2024-05-08 00:00:00+00:00,26,12,830,173
2024-05-09 00:00:00+00:00,7,6,795,166
2024-05-10 00:00:00+00:00,107,22,733,159
2024-05-11 00:00:00+00:00,37,15,836,142
2024-05-12 00:00:00+00:00,9,4,186,52
2024-05-13 00:00:00+00:00,96,12,794,201
