time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-07 00:00:00+00:00,6,4,315,60
2022-10-08 00:00:00+00:00,11,7,847,192
2022-10-09 00:00:00+00:00,4,4,899,212
2022-10-10 00:00:00+00:00,17,11,1058,230
2022-10-11 00:00:00+00:00,10,7,987,218
2022-10-12 00:00:00+00:00,52,17,1122,193
2022-10-13 00:00:00+00:00,33,13,1081,201
2022-10-14 00:00:00+00:00,30,14,1143,213
2022-10-15 00:00:00+00:00,5,5,375,98
2022-10-16 00:00:00+00:00,5,5,311,79
2022-10-17 00:00:00+00:00,46,14,1222,236
2022-10-18 00:00:00+00:00,169,15,1298,229
2022-10-19 00:00:00+00:00,3,3,1060,199
2022-10-20 00:00:00+00:00,16,14,960,214
