time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-07 00:00:00+00:00,25,10,108,48
2024-01-08 00:00:00+00:00,33,10,775,153
2024-01-09 00:00:00+00:00,18,11,741,162
2024-01-10 00:00:00+00:00,73,13,763,180
2024-01-11 00:00:00+00:00,8,8,657,185
2024-01-12 00:00:00+00:00,25,11,716,155
2024-01-13 00:00:00+00:00,6,6,373,65
2024-01-14 00:00:00+00:00,29,6,210,60
2024-01-15 00:00:00+00:00,153,10,850,169
2024-01-16 00:00:00+00:00,120,10,921,157
2024-01-17 00:00:00+00:00,69,13,975,130
2024-01-18 00:00:00+00:00,25,11,457,119
2024-01-19 00:00:00+00:00,8,6,488,107
2024-01-20 00:00:00+00:00,62,11,410,40
