time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-23 00:00:00+00:00,8,8,385,63
2023-07-24 00:00:00+00:00,58,19,976,199
2023-07-25 00:00:00+00:00,6,6,978,181
2023-07-26 00:00:00+00:00,7,7,875,184
2023-07-27 00:00:00+00:00,39,10,1395,169
2023-07-28 00:00:00+00:00,15,9,1219,161
2023-07-29 00:00:00+00:00,9,5,443,71
2023-07-30 00:00:00+00:00,10,8,351,60
2023-07-31 00:00:00+00:00,10,10,799,199
2023-08-01 00:00:00+00:00,24,8,1241,177
2023-08-02 00:00:00+00:00,36,6,1254,166
2023-08-03 00:00:00+00:00,55,11,1092,151
2023-08-04 00:00:00+00:00,48,9,1052,163
2023-08-05 00:00:00+00:00,4,4,197,63
